step,omega_ci_t,region,q_parallel_mean,q_parallel_abs_mean,q_perp_mean,q_perp_abs_mean
51000,4.7314453125,high_y_low_z,1.0408396390219185e-08,3.3564745775535296e-06,7.221358551196811e-07,7.221358551196811e-07
51000,4.7314453125,high_y_high_z,1.5771235435010507e-09,3.35951106989545e-06,7.236840192598935e-07,7.236840192598935e-07
54000,5.009765625,low_y_low_z,-1.3521019273324094e-08,3.2253468203587103e-06,7.611847502019633e-07,7.611847502019633e-07
54000,5.009765625,low_y_high_z,-4.8662697930476535e-08,3.2179532416231626e-06,7.617760732328789e-07,7.617760732328789e-07
54000,5.009765625,high_y_low_z,1.4781433059974025e-08,3.2311738650900693e-06,7.614548684952321e-07,7.614548684952321e-07
54000,5.009765625,high_y_high_z,-1.022980251175816e-08,3.2434012055825323e-06,7.623918101471806e-07,7.623918101471806e-07
57000,5.2880859375,low_y_low_z,-9.823510267881553e-09,3.1197332882002255e-06,8.001141905171227e-07,8.001141905171227e-07
57000,5.2880859375,low_y_high_z,-3.903802034928794e-08,3.0960958115694908e-06,8.014618181015561e-07,8.014618181015561e-07
57000,5.2880859375,high_y_low_z,2.4405929828932456e-08,3.1221466532253373e-06,8.065929079873328e-07,8.065929079873328e-07
57000,5.2880859375,high_y_high_z,-1.8483633031319084e-08,3.101925940944211e-06,8.033853508118898e-07,8.033853508118898e-07
60000,5.56640625,low_y_low_z,-6.243939233289204e-09,3.0016307137497712e-06,8.473958349651763e-07,8.473958349651763e-07
60000,5.56640625,low_y_high_z,-2.1360102587012077e-08,3.0023863837769796e-06,8.449693453166794e-07,8.449693453166794e-07
60000,5.56640625,high_y_low_z,2.8081679129919293e-08,2.9799119631486517e-06,8.462855334206112e-07,8.462855334206112e-07
60000,5.56640625,high_y_high_z,-3.261034870416841e-08,2.996387527938493e-06,8.416942064888935e-07,8.416942064888935e-07
63000,5.8447265625,low_y_low_z,-5.996343083590189e-09,2.8930625550595313e-06,8.898871243371928e-07,8.898871243371928e-07
63000,5.8447265625,low_y_high_z,-2.241499055777059e-08,2.8829404995395664e-06,8.898669811660967e-07,8.898669811660967e-07
63000,5.8447265625,high_y_low_z,1.9573931917175853e-08,2.9079369764940925e-06,8.933917681471279e-07,8.933917681471279e-07
63000,5.8447265625,high_y_high_z,-2.522175980843979e-08,2.880091867210329e-06,8.907986774809489e-07,8.907986774809489e-07
66000,6.123046875,low_y_low_z,-6.134268970973164e-09,2.789169185687006e-06,9.378759229234922e-07,9.378759229234922e-07
66000,6.123046875,low_y_high_z,-1.5526835313502257e-08,2.7774567298967327e-06,9.361278438115366e-07,9.361278438115366e-07
66000,6.123046875,high_y_low_z,1.0756505084012473e-08,2.798014086069197e-06,9.328896570975927e-07,9.328896570975927e-07
66000,6.123046875,high_y_high_z,-2.174734866793896e-08,2.7845016504560985e-06,9.381786612388573e-07,9.381786612388573e-07
69000,6.4013671875,low_y_low_z,3.5689784716069843e-09,2.692525408797108e-06,9.873905361798882e-07,9.873905361798882e-07
69000,6.4013671875,low_y_high_z,-1.2299618703786615e-08,2.6784418425790038e-06,9.792223024466952e-07,9.792223024466952e-07
69000,6.4013671875,high_y_low_z,-1.1902635036826136e-08,2.686182671995479e-06,9.842115823103445e-07,9.842115823103445e-07
69000,6.4013671875,high_y_high_z,-1.4724263972159418e-08,2.682664639721578e-06,9.848525606298956e-07,9.848525606298956e-07
72000,6.6796875,low_y_low_z,-1.159710010454397e-09,2.6187255512738763e-06,1.0356246782662926e-06,1.0356246782662926e-06
72000,6.6796875,low_y_high_z,-2.220157228835104e-09,2.593114970170578e-06,1.0368167456651826e-06,1.0368167456651826e-06
72000,6.6796875,high_y_low_z,2.0897832613940345e-09,2.60955377094216e-06,1.0340538428916892e-06,1.0340538428916892e-06
72000,6.6796875,high_y_high_z,-2.6435422532177063e-08,2.604879538577183e-06,1.0364826045406604e-06,1.0364826045406604e-06
