case,species,step,omega_ci_t,anisotropy_global,parallel_over_perpendicular_global,anisotropy_median,anisotropy_p25,anisotropy_p75,beta_parallel_global,beta_parallel_median,beta_parallel_p25,beta_parallel_p75,marginal_threshold,instability_drive,valid_cells
Mirror Moderate Bi-Kappa 3,ion,15000,1.979166666666667,2.0022401809692383,0.49944058135718916,2.0049147605895996,1.929344654083252,2.08223032951355,4.966379165649414,4.946030616760254,4.756719589233398,5.151070594787598,1.2013539374755406,0.8008862434936976,331776
Mirror Moderate Bi-Kappa 3,ion,15500,2.045138888888889,2.0023715496063232,0.49940781479671204,2.005239725112915,1.9298601150512695,2.0823330879211426,4.965487480163574,4.945066452026367,4.755285739898682,5.151566028594971,1.2013900959361714,0.8009814536701518,331776
Mirror Moderate Bi-Kappa 3,ion,16000,2.111111111111111,2.0024867057800293,0.49937909555832466,2.005136489868164,1.9295084476470947,2.082919120788574,4.964632034301758,4.945006370544434,4.7539472579956055,5.151023864746094,1.2014247970626575,0.8010619087173718,331776
Mirror Moderate Bi-Kappa 3,ion,16500,2.1770833333333335,2.0025925636291504,0.4993526981782924,2.0054612159729004,1.929699420928955,2.083057403564453,4.963785171508789,4.943694591522217,4.751882553100586,5.150796413421631,1.201459161798503,0.8011334018306473,331776
Mirror Moderate Bi-Kappa 3,ion,17000,2.243055555555556,2.00274395942688,0.49931495001795806,2.0056560039520264,1.9304120540618896,2.0823514461517334,4.962864875793457,4.942275047302246,4.752306938171387,5.149001598358154,1.2014965196569292,0.8012474397699507,331776
Mirror Moderate Bi-Kappa 3,ion,17500,2.3090277777777777,2.002849578857422,0.4992886188539812,2.0057168006896973,1.9300289154052734,2.0828206539154053,4.96203088760376,4.942279815673828,4.752687454223633,5.147644519805908,1.2015303859752706,0.8013191928821513,331776
Mirror Moderate Bi-Kappa 3,ion,18000,2.375,2.002962112426758,0.4992605670350976,2.0057272911071777,1.9304633140563965,2.0831382274627686,4.961180686950684,4.941112041473389,4.750979423522949,5.146832466125488,1.2015649223642035,0.8013971900625543,331776
Mirror Moderate Bi-Kappa 3,ion,18500,2.4409722222222223,2.003114938735962,0.4992224762853779,2.005875587463379,1.9307096004486084,2.082888126373291,4.960251808166504,4.939777374267578,4.749727725982666,5.146474838256836,1.2016026683068006,0.8015122704291613,331776
Mirror Moderate Bi-Kappa 3,ion,19000,2.5069444444444446,2.0032060146331787,0.49919977910166025,2.006147861480713,1.9307458400726318,2.0830838680267334,4.9594526290893555,4.939375877380371,4.748952865600586,5.145328044891357,1.2016351550843662,0.8015708595488125,331776
Mirror Moderate Bi-Kappa 3,ion,19500,2.572916666666667,2.00331974029541,0.499171440227779,2.006098747253418,1.9303380250930786,2.0838053226470947,4.958601474761963,4.938302993774414,4.747995376586914,5.145628929138184,1.2016697661809985,0.8016499741144116,331776
