step,omega_ci_t,delta_B_rms,delta_B_rms_over_B0,delta_B_parallel_rms,delta_B_parallel_rms_over_B0,delta_B_perp_rms,delta_B_perp_rms_over_B0,B_min,mirror_depth,mirror_area_fraction,magnetic_energy_fluct
21500,2.836805555555556,0.0008173373190628725,0.010216716488285905,0.0008170384822582864,0.01021298102822858,0.0017659532635293258,0.02207441579411657,0.07610662793749128,0.04866715078135908,0.1531424816743827,3.340201465664419e-07
22000,2.9027777777777777,0.0008205378953670932,0.010256723692088665,0.0008201756890756505,0.010252196113445631,0.0017670943714949289,0.02208867964368661,0.07588682411240476,0.05141469859494052,0.15239197530864199,3.366412188667294e-07
22500,2.96875,0.0008265478585599358,0.010331848231999197,0.0008263022553054774,0.010328778191318467,0.0017710273637529324,0.022137842046911653,0.07627887003879662,0.04651412451504233,0.1532178337191358,3.415906812450078e-07
23000,3.0347222222222223,0.000826879651870965,0.010335995648387062,0.0008265543647917332,0.010331929559896666,0.0017697492365969718,0.022121865457462146,0.07622182531334035,0.047227183583245735,0.15386887538580246,3.4186497933912407e-07
23500,3.1006944444444446,0.0008325224041952729,0.010406530052440912,0.0008322008336520442,0.010402510420650551,0.0017716959465868172,0.022146199332335213,0.0760016159123742,0.04997980109532252,0.15326003086419754,3.4654677674353864e-07
24000,3.166666666666667,0.0008357646767098414,0.010447058458873016,0.0008355335730812538,0.010444169663515673,0.0017738862064462602,0.022173577580578252,0.07628439829681527,0.046445021289809096,0.15309124228395063,3.4925129741795287e-07
24500,3.232638888888889,0.0008365672037993664,0.010457090047492078,0.0008361967238119999,0.01045245904765,0.0017750964718120734,0.02218870589765092,0.07596654197185689,0.05041822535178897,0.15236484857253085,3.499223432363453e-07
25000,3.298611111111111,0.0008406463548587379,0.010508079435734223,0.0008403312440371949,0.010504140550464936,0.0017771042291117004,0.022213802863896254,0.07624650425153437,0.046918696855820397,0.15330222800925927,3.533431469686415e-07
25500,3.364583333333334,0.0008450754306261731,0.010563442882827163,0.0008446985935779403,0.010558732419724253,0.0017793972903198836,0.022242466128998543,0.07543871811064476,0.05701602361694058,0.15331729841820987,3.5707624172400595e-07
26000,3.430555555555556,0.0008485354011016525,0.010606692513770657,0.0008482517703023224,0.01060314712877903,0.0017804125787764381,0.022255157234705475,0.07617540362981695,0.04780745462728808,0.15268132716049382,3.6000616346137113e-07
26500,3.4965277777777777,0.0008496981178918117,0.010621226473647646,0.0008493996941200823,0.010617496176501028,0.0017857126312959537,0.02232140789119942,0.0765142129633924,0.043572337957594964,0.1525758342978395,3.609934457744436e-07
27000,3.5625,0.000851160909218993,0.010639511365237412,0.0008507883231742491,0.010634854039678114,0.0017811916580850915,0.022264895726063643,0.07584806916811383,0.051899135398577156,0.15255473572530864,3.622374466912514e-07
27500,3.628472222222222,0.0008529612525119025,0.010662015656398781,0.0008526675265208102,0.010658344081510127,0.0017838210504679112,0.02229776313084889,0.07615749089671243,0.04803136379109463,0.15270845389660495,3.6377144914333676e-07
28000,3.6944444444444446,0.0008541452527507888,0.01067681565938486,0.0008538374102098589,0.010672967627623237,0.00178405274790314,0.022300659348789248,0.07602813585596795,0.049648301800400696,0.15309425636574073,3.6478205639835447e-07
28500,3.7604166666666665,0.000858204083842869,0.010727551048035862,0.0008579809086928168,0.01072476135866021,0.0017863228792631657,0.02232903599078957,0.07564456443462451,0.05444294456719356,0.15309425636574073,3.6825712476228903e-07
