step,omega_ci_t,region,q_parallel_mean,q_parallel_abs_mean,q_perp_mean,q_perp_abs_mean
14000,1.8472222222222223,high_y_low_z,2.4705274861427498e-08,2.388395680417658e-06,1.0578880060810259e-05,1.0578880060810259e-05
14000,1.8472222222222223,high_y_high_z,-7.605758093035858e-09,2.390118261702017e-06,1.0580900297018382e-05,1.0580900297018382e-05
14500,1.9131944444444446,low_y_low_z,-4.744629472261405e-09,2.3824781472598706e-06,1.0543178454707895e-05,1.0543178454707895e-05
14500,1.9131944444444446,low_y_high_z,-1.2558843075091486e-08,2.3795426172819037e-06,1.0565300278711143e-05,1.0565300278711143e-05
14500,1.9131944444444446,high_y_low_z,2.2150228036548608e-08,2.3903876497217767e-06,1.0563455315302285e-05,1.0563455315302285e-05
14500,1.9131944444444446,high_y_high_z,-1.079023986000272e-08,2.3866720091569984e-06,1.0623292360382971e-05,1.0623292360382971e-05
15000,1.979166666666667,low_y_low_z,-2.2627729328850385e-09,2.3829700487631043e-06,1.0583783581388292e-05,1.0583783581388292e-05
15000,1.979166666666667,low_y_high_z,-1.5874881650037863e-08,2.39092479216541e-06,1.056417547289628e-05,1.056417547289628e-05
15000,1.979166666666667,high_y_low_z,2.6706249332953307e-08,2.384477192694269e-06,1.054436573387241e-05,1.054436573387241e-05
15000,1.979166666666667,high_y_high_z,-1.1886352111852856e-08,2.384956503729424e-06,1.0601616219967508e-05,1.0601616219967508e-05
15500,2.045138888888889,low_y_low_z,-1.8436297775681283e-10,2.386134075758806e-06,1.0568606757460174e-05,1.0568606757460174e-05
15500,2.045138888888889,low_y_high_z,-2.0020714856417122e-08,2.3849919982317732e-06,1.0587285024281002e-05,1.0587285024281002e-05
15500,2.045138888888889,high_y_low_z,2.455550726094083e-08,2.3843759855842838e-06,1.0555840168617522e-05,1.0555840168617522e-05
15500,2.045138888888889,high_y_high_z,-1.0515936180616113e-08,2.380248335548618e-06,1.0549732388487127e-05,1.0549732388487127e-05
16000,2.111111111111111,low_y_low_z,-2.3475051264421977e-09,2.3894773561224346e-06,1.0577053865525222e-05,1.0577053865525222e-05
16000,2.111111111111111,low_y_high_z,-1.8977233472767254e-08,2.3879383710069978e-06,1.05803790401081e-05,1.05803790401081e-05
16000,2.111111111111111,high_y_low_z,2.3243444477878755e-08,2.3888485472192337e-06,1.0592483957425104e-05,1.0592483957425104e-05
16000,2.111111111111111,high_y_high_z,-7.74801778117773e-09,2.395051164904445e-06,1.0585087777437955e-05,1.0585087777437955e-05
16500,2.1770833333333335,low_y_low_z,2.47846579291675e-09,2.3861970274740945e-06,1.058470947218916e-05,1.058470947218916e-05
16500,2.1770833333333335,low_y_high_z,-1.510163895042389e-08,2.3646721270995486e-06,1.054512765536076e-05,1.054512765536076e-05
16500,2.1770833333333335,high_y_low_z,2.457975128144938e-08,2.3896997274136372e-06,1.0562545605008349e-05,1.0562545605008349e-05
16500,2.1770833333333335,high_y_high_z,-1.3175474490636083e-08,2.376812607943791e-06,1.060903929075754e-05,1.060903929075754e-05
17000,2.243055555555556,low_y_low_z,7.680769889302555e-09,2.38923674975304e-06,1.0588993575754456e-05,1.0588993575754456e-05
17000,2.243055555555556,low_y_high_z,-1.8789043623018634e-08,2.3810378957949134e-06,1.0546548130826986e-05,1.0546548130826986e-05
17000,2.243055555555556,high_y_low_z,1.2627082723377328e-08,2.3768856694822854e-06,1.0570402384680833e-05,1.0570402384680833e-05
17000,2.243055555555556,high_y_high_z,-8.960331020454044e-09,2.3814957420431004e-06,1.0555346043807915e-05,1.0555346043807915e-05
17500,2.3090277777777777,low_y_low_z,8.589809690478852e-09,2.3882204467322817e-06,1.0557647903705122e-05,1.0557647903705122e-05
17500,2.3090277777777777,low_y_high_z,-2.2504921285883698e-08,2.3831209453995337e-06,1.0567180192387459e-05,1.0567180192387459e-05
17500,2.3090277777777777,high_y_low_z,1.4498798969634537e-08,2.3922757106032367e-06,1.0527047121365332e-05,1.0527047121365332e-05
17500,2.3090277777777777,high_y_high_z,-5.522853637014307e-09,2.372384895516445e-06,1.057714686449645e-05,1.057714686449645e-05
18000,2.375,low_y_low_z,1.871757158069237e-09,2.3774573580094573e-06,1.0556961792843893e-05,1.0556961792843893e-05
18000,2.375,low_y_high_z,-1.590040807204904e-08,2.378825218433129e-06,1.0563876162935281e-05,1.0563876162935281e-05
18000,2.375,high_y_low_z,1.9217846945925686e-08,2.3722144493559263e-06,1.056827459129807e-05,1.056827459129807e-05
18000,2.375,high_y_high_z,-8.879739576943856e-09,2.3918581786788982e-06,1.0578674496004282e-05,1.0578674496004282e-05
18500,2.4409722222222223,low_y_low_z,2.363719532680967e-09,2.3815584908313317e-06,1.0568873450955024e-05,1.0568873450955024e-05
18500,2.4409722222222223,low_y_high_z,-1.8967814457715315e-08,2.3780762113349388e-06,1.0554753757743712e-05,1.0554753757743712e-05
18500,2.4409722222222223,high_y_low_z,1.7087977583772493e-08,2.3815433607686825e-06,1.0577801105819154e-05,1.0577801105819154e-05
18500,2.4409722222222223,high_y_high_z,-7.202811988160652e-09,2.3882233788311597e-06,1.0547470426307084e-05,1.0547470426307084e-05
19000,2.5069444444444446,low_y_low_z,4.0204699926337555e-09,2.3861356360730723e-06,1.053127882617405e-05,1.053127882617405e-05
19000,2.5069444444444446,low_y_high_z,-1.5139948698591613e-08,2.3792286725483334e-06,1.055615992286827e-05,1.055615992286827e-05
19000,2.5069444444444446,high_y_low_z,1.500981878974055e-08,2.3880036653912207e-06,1.0533989628459354e-05,1.0533989628459354e-05
19000,2.5069444444444446,high_y_high_z,-9.070490028557284e-09,2.3929509899069196e-06,1.057735422951925e-05,1.057735422951925e-05
19500,2.572916666666667,low_y_low_z,3.6755303132751848e-09,2.3792179251166264e-06,1.056363562570915e-05,1.056363562570915e-05
19500,2.572916666666667,low_y_high_z,-1.7872887844035163e-08,2.3768234912913955e-06,1.0562808568046114e-05,1.0562808568046114e-05
19500,2.572916666666667,high_y_low_z,1.2917362522714603e-08,2.3678545378280018e-06,1.0539800938388172e-05,1.0539800938388172e-05
19500,2.572916666666667,high_y_high_z,-2.5386122297915927e-09,2.378091513862816e-06,1.0579129716729025e-05,1.0579129716729025e-05
20000,2.638888888888889,low_y_low_z,-3.3795979308121378e-09,2.374588565445599e-06,1.0549522512726237e-05,1.0549522512726237e-05
20000,2.638888888888889,low_y_high_z,-1.5223718937187313e-08,2.3757607814097366e-06,1.0593157990325267e-05,1.0593157990325267e-05
20000,2.638888888888889,high_y_low_z,1.864066736303168e-08,2.386576876557522e-06,1.0526072801761329e-05,1.0526072801761329e-05
20000,2.638888888888889,high_y_high_z,-1.0001396980624367e-08,2.3738145875622746e-06,1.0582801535553577e-05,1.0582801535553577e-05
20500,2.704861111111111,low_y_low_z,-5.035255811351682e-09,2.369405121246042e-06,1.0525654920230957e-05,1.0525654920230957e-05
20500,2.704861111111111,low_y_high_z,-6.526999821709625e-09,2.3737925086917925e-06,1.0522980542696255e-05,1.0522980542696255e-05
20500,2.704861111111111,high_y_low_z,2.1531979506450532e-08,2.3829893067379565e-06,1.0550707368780906e-05,1.0550707368780906e-05
20500,2.704861111111111,high_y_high_z,-1.6234536236090278e-08,2.367055537842961e-06,1.0560634555303396e-05,1.0560634555303396e-05
21000,2.7708333333333335,low_y_low_z,-5.468060453176754e-09,2.3778179722693127e-06,1.0522025936090634e-05,1.0522025936090634e-05
21000,2.7708333333333335,low_y_high_z,-4.05279987334936e-09,2.3866863803898767e-06,1.0529152294053931e-05,1.0529152294053931e-05
21000,2.7708333333333335,high_y_low_z,2.5690683263437778e-08,2.371231381800066e-06,1.0562971581337788e-05,1.0562971581337788e-05
21000,2.7708333333333335,high_y_high_z,-2.0029917101708766e-08,2.375089280613876e-06,1.0549807332481312e-05,1.0549807332481312e-05
21500,2.836805555555556,low_y_low_z,-8.819251136245387e-09,2.390833431058654e-06,1.0541473393597317e-05,1.0541473393597317e-05
21500,2.836805555555556,low_y_high_z,-6.945655526152218e-09,2.381997701109386e-06,1.0534737277694787e-05,1.0534737277694787e-05
21500,2.836805555555556,high_y_low_z,2.5132530061284455e-08,2.3805470878603218e-06,1.0569353877470973e-05,1.0569353877470973e-05
21500,2.836805555555556,high_y_high_z,-1.9354541956150917e-08,2.3797711627420282e-06,1.0558067418457743e-05,1.0558067418457743e-05
22000,2.9027777777777777,low_y_low_z,-4.02588872283128e-09,2.378585547030871e-06,1.054427033682499e-05,1.054427033682499e-05
22000,2.9027777777777777,low_y_high_z,-1.4022722724655342e-09,2.3817810180851926e-06,1.0526045965224454e-05,1.0526045965224454e-05
22000,2.9027777777777777,high_y_low_z,2.2224047403381587e-08,2.3851984075819937e-06,1.0516393380799532e-05,1.0516393380799532e-05
22000,2.9027777777777777,high_y_high_z,-2.171981881917266e-08,2.390154305322208e-06,1.0587418428760037e-05,1.0587418428760037e-05
22500,2.96875,low_y_low_z,-4.115514662198224e-09,2.377423362396452e-06,1.0514492728876082e-05,1.0514492728876082e-05
22500,2.96875,low_y_high_z,1.6534846580568874e-09,2.3831182614525915e-06,1.0532410864485163e-05,1.0532410864485163e-05
22500,2.96875,high_y_low_z,2.105786998157576e-08,2.376242851617593e-06,1.0567725666449057e-05,1.0567725666449057e-05
22500,2.96875,high_y_high_z,-2.3538600805854766e-08,2.3812287093894937e-06,1.053198702931538e-05,1.053198702931538e-05
23000,3.0347222222222223,low_y_low_z,-1.2057996211713784e-09,2.383553103118297e-06,1.0528933019545252e-05,1.0528933019545252e-05
23000,3.0347222222222223,low_y_high_z,2.6406304148893365e-10,2.3760235515025817e-06,1.0539250572700865e-05,1.0539250572700865e-05
23000,3.0347222222222223,high_y_low_z,1.9010953081175855e-08,2.379210004974264e-06,1.0538064366299813e-05,1.0538064366299813e-05
23000,3.0347222222222223,high_y_high_z,-2.40313629608988e-08,2.3931852345325955e-06,1.0528370387423069e-05,1.0528370387423069e-05
23500,3.1006944444444446,low_y_low_z,3.318194136951284e-09,2.384239452901062e-06,1.0517748496150273e-05,1.0517748496150273e-05
23500,3.1006944444444446,low_y_high_z,4.053597715729661e-09,2.388424289281613e-06,1.0550969973441616e-05,1.0550969973441616e-05
23500,3.1006944444444446,high_y_low_z,1.5015598901033403e-08,2.3749321018506373e-06,1.052082464881048e-05,1.052082464881048e-05
23500,3.1006944444444446,high_y_high_z,-2.7505222855750983e-08,2.378296102722793e-06,1.056424002018514e-05,1.056424002018514e-05
24000,3.166666666666667,low_y_low_z,4.121124304410519e-09,2.3817036217811197e-06,1.0549021358875038e-05,1.0549021358875038e-05
24000,3.166666666666667,low_y_high_z,-2.692536149601869e-09,2.382493669739734e-06,1.0515762628765841e-05,1.0515762628765841e-05
24000,3.166666666666667,high_y_low_z,1.1733927112408645e-08,2.3759150249800513e-06,1.055468084224966e-05,1.055468084224966e-05
24000,3.166666666666667,high_y_high_z,-1.657091419745081e-08,2.3797586784061064e-06,1.0536779787860525e-05,1.0536779787860525e-05
24500,3.232638888888889,low_y_low_z,-1.07588630932853e-09,2.386966623854199e-06,1.0552476478865098e-05,1.0552476478865098e-05
24500,3.232638888888889,low_y_high_z,4.365496613337419e-09,2.366584702059808e-06,1.052930196902853e-05,1.052930196902853e-05
24500,3.232638888888889,high_y_low_z,9.503416735176072e-09,2.3804184325062712e-06,1.0549533562263054e-05,1.0549533562263054e-05
24500,3.232638888888889,high_y_high_z,-1.6772519371205578e-08,2.3677188889336333e-06,1.0521534588717725e-05,1.0521534588717725e-05
25000,3.298611111111111,low_y_low_z,-2.4154324492516817e-09,2.3763784562409656e-06,1.0573617004013962e-05,1.0573617004013962e-05
25000,3.298611111111111,low_y_high_z,2.526159494009775e-09,2.3777944022415655e-06,1.0555669853071137e-05,1.0555669853071137e-05
25000,3.298611111111111,high_y_low_z,5.564523019547612e-09,2.3800041309247855e-06,1.0488457811502822e-05,1.0488457811502822e-05
