step,omega_ci_t,delta_B_rms,delta_B_rms_over_B0,delta_B_parallel_rms,delta_B_parallel_rms_over_B0,delta_B_perp_rms,delta_B_perp_rms_over_B0,B_min,mirror_depth,mirror_area_fraction,magnetic_energy_fluct
55500,7.322916666666668,0.0008725094066964424,0.01090636758370553,0.0008722091409380599,0.010902614261725748,0.0018407748466009823,0.02300968558251228,0.07607864150267873,0.049016981216515876,0.15232867959104937,3.8063633238688895e-07
56000,7.388888888888889,0.0008753038206113512,0.010941297757641891,0.0008749437749155017,0.01093679718644377,0.0018442995726551444,0.023053744658189306,0.0761497646769605,0.048127941537993824,0.15258487654320987,3.830783891884143e-07
56500,7.454861111111112,0.0008779411957604014,0.010974264947005017,0.000877533228659195,0.010969165358239937,0.0018453667263996598,0.023067084079995748,0.0762627820869852,0.04671522391268501,0.15290436921296297,3.8539037160660175e-07
57000,7.520833333333333,0.0008793253330171091,0.010991566662713864,0.0008790594424807116,0.010988243031008895,0.0018480964568614547,0.023101205710768184,0.0760591965616628,0.049260042979215046,0.15259693287037038,3.866065206428249e-07
57500,7.586805555555555,0.0008824678035216856,0.01103084754402107,0.0008821486591185703,0.011026858238982128,0.0018510448759692347,0.023138060949615433,0.07601003202618288,0.049874599672714015,0.15263008777006173,3.8937471212619414e-07
58000,7.652777777777779,0.0008818348934142269,0.011022936167677836,0.0008815110220704226,0.011018887775880282,0.0018503194802706208,0.02312899350338276,0.07611759865320084,0.04853001683498959,0.1529224537037037,3.888163896214404e-07
58500,7.71875,0.0008851216295375803,0.011064020369219753,0.0008847299049339687,0.011059123811674608,0.001854687180462293,0.023183589755778663,0.07583815209905352,0.05202309876183098,0.15303397472993827,3.9172014953763074e-07
59000,7.784722222222222,0.0008829710185612438,0.011037137732015546,0.0008825992463357089,0.01103249057919636,0.0018542497353242159,0.023178121691552696,0.07570333387689124,0.053708326538859597,0.1528049045138889,3.898189098095402e-07
59500,7.850694444444444,0.0008857457420356249,0.011071821775445311,0.0008853488779580534,0.011066860974475666,0.0018563755988838763,0.023204694986048453,0.07605057628627095,0.04936779642161315,0.1527416087962963,3.9227275976711984e-07
60000,7.916666666666668,0.0008885292658295178,0.011106615822868973,0.0008881459831382038,0.011101824789227548,0.0018593802022893922,0.0232422525286174,0.07574836444798687,0.05314544440016411,0.15268132716049382,3.947421281177709e-07
60500,7.982638888888889,0.0008924376121588976,0.01115547015198622,0.0008920903230013535,0.01115112903751692,0.0018637541477861952,0.02329692684732744,0.07603264242352081,0.04959196970598989,0.1536669319058642,3.982224457979375e-07
61000,8.04861111111111,0.0008945385602577317,0.011181732003221645,0.0008941466451557363,0.011176833064446704,0.0018666817998011017,0.023333522497513772,0.07568364082987868,0.05395448962651661,0.15332332658179013,4.0009961789398767e-07
61500,8.114583333333334,0.0008928891341929117,0.011161114177411396,0.0008924837472919332,0.011156046841149165,0.0018639438919525807,0.023299298649407257,0.07536951308084468,0.05788108648944157,0.1529465663580247,3.986255029798837e-07
62000,8.180555555555555,0.0008969388936943555,0.011211736171179444,0.000896510554986325,0.011206381937329063,0.001864097478019304,0.0233012184752413,0.07617296874070756,0.04783789074115552,0.1524462287808642,4.022496895108272e-07
62500,8.246527777777779,0.0009013510518244636,0.011266888147805795,0.0009010536291395632,0.01126317036424454,0.0018670314949287177,0.02333789368660897,0.07589558749978609,0.051305156252673956,0.1527657214506173,4.0621685931253343e-07
63000,8.3125,0.0009011976779814231,0.011264970974767788,0.0009008537842162246,0.011260672302702807,0.0018730518296623602,0.023413147870779503,0.07595952349954535,0.050505956255683104,0.15331729841820987,4.0607862739955443e-07
